Dimension,n,first_approach_tree_buildtime,second_approach_tree_buildtime,third_approach_tree_buildtime,linearsearchtime,searchtime1,searchtime2,searchtime3
2,30,0,0,0,169,191,163,164
2,300,1,0,1,1238,273,320,303
2,3000,4,6,13,11027,496,435,511
2,30000,66,90,102,112189,1447,1209,1481
2,300000,1077,1033,1296,1314325,7258,4370,4470
3,30,0,0,0,191,1552,1529,1482
3,300,1,1,0,1530,733,705,637
3,3000,4,9,13,13351,1062,951,1385
3,30000,96,74,169,129910,1740,1590,2128
3,300000,1221,1064,1938,1455985,3608,2637,2985
4,30,0,0,0,194,323,310,289
4,300,1,0,1,1410,1121,1140,1136
4,3000,4,9,18,13113,2266,2291,2968
4,30000,93,80,191,134055,4249,3837,5891
4,300000,1293,1088,2487,1664727,13191,8230,9921
5,30,0,0,1,208,414,432,382
5,300,0,1,1,1459,2063,1853,1936
5,3000,4,9,22,13947,4854,4763,6762
5,30000,74,98,293,145608,11377,9771,23362
5,300000,1293,1179,3402,1869303,46240,29609,29732
6,30,0,0,0,215,429,423,419
6,300,0,0,4,1707,3590,2859,3061
6,3000,4,11,22,15205,11589,11983,16956
6,30000,78,104,355,158277,36564,32781,63024
6,300000,1284,1234,4203,1950015,171896,117506,141536
